entity_subtype,publicspace,house,COMMERCIAL,PUBLIC,RESIDENTIAL,JANITOR,room
AIR,0,0,0,1,0,0,0
ARCHIVE,0,0,1,1,0,0,1
BALCONY,0,7,1,1,1,0,1
BASEMENT,1,0,0,1,0,0,1
BASEMENT_COMPARTMENT,1,0,0,1,0,0,1
BATHROOM,0,2,1,1,1,1,1
BEDROOM,0,4,0,1,1,0,1
BIKE_STORAGE,1,0,0,1,0,0,1
BREAK_ROOM,1,0,1,0,0,0,1
CANTEEN,1,0,1,0,0,0,1
CARPARK,1,0,0,1,0,0,0
CLOAKROOM,1,0,1,0,0,0,1
COLD_STORAGE,1,0,1,0,0,0,1
COMMON_KITCHEN,1,0,1,1,0,0,1
COMMUNITY_ROOM,1,0,1,1,0,0,1
CORRIDOR,0,8,0,1,1,0,1
CORRIDORS_AND_HALLS,0,8,1,1,0,0,1
COUNTER_ROOM,1,0,0,1,0,0,1
DEDICATED_MEDICAL_ROOM,1,0,0,0,1,0,1
DINING,0,6,0,1,1,0,1
ELECTRICAL_SUPPLY,1,0,0,1,0,0,1
ELEVATOR,1,0,0,1,1,0,0
ELEVATOR_FACILITIES,1,0,0,1,0,0,0
FACTORY_ROOM,1,0,1,0,0,0,1
FOYER,1,0,0,1,0,0,1
GARAGE,1,0,0,1,0,0,1
GARDEN,0,0,0,1,1,0,0
GAS,0,0,0,1,0,0,1
HEATING,0,0,0,1,0,0,1
HOUSE_TECHNICS_FACILITIES,0,0,0,1,0,0,1
KITCHEN,0,5,0,1,1,0,1
KITCHEN_DINING,0,5,0,1,1,0,1
LIGHTWELL,1,0,0,1,1,0,0
LIVING_DINING,0,1,0,1,1,0,1
LIVING_ROOM,0,1,0,1,1,0,1
LOBBY,1,0,1,1,0,0,1
LOGGIA,0,7,0,1,1,0,0
MEDICAL_ROOM,1,0,1,0,1,0,1
MEETING_ROOM,1,0,1,1,0,0,1
NOT_DEFINED,0,0,0,1,0,0,1
OFFICE,1,0,1,1,0,1,1
OFFICE_SPACE,1,0,1,1,0,0,1
OFFICE_TECH_ROOM,1,0,1,1,0,0,1
OIL_TANK,0,0,0,1,0,0,1
OPEN_PLAN_OFFICE,1,0,1,1,0,0,1
OPERATIONS_FACILITIES,0,0,0,1,0,0,1
OUTDOOR_VOID,0,0,0,1,1,0,0
PATIO,1,0,1,1,1,0,0
PHYSIO_AND_REHABILITATION,1,0,1,0,0,0,1
PRAM,1,0,0,1,0,0,1
PRAM_AND_BIKE_STORAGE_ROOM,1,0,0,1,0,0,1
RADATION_THERAPY,1,0,1,0,1,0,1
RECEPTION_ROOM,1,0,1,1,1,0,1
ROOM,0,4,0,1,1,0,1
SALESROOM,1,0,1,1,0,0,1
SANITARY_ROOMS,1,0,1,1,0,0,1
SHAFT,0,0,1,1,1,0,0
SHELTER,1,0,0,1,0,0,1
SPORTS_ROOMS,1,0,1,1,0,0,1
STAIRCASE,1,0,1,1,1,0,1
STOREROOM,0,3,1,1,1,0,1
STUDIO,0,4,0,0,1,0,1
TECHNICAL_AREA,0,0,0,1,1,0,1
TERRACE,0,7,1,1,1,0,0
TRANSPORT_SHAFT,0,0,1,1,0,0,0
VEHICLE_TRAFFIC_AREA,1,0,0,1,0,0,0
VOID,0,4,1,1,1,0,0
WAITING_ROOM,1,0,0,1,0,0,1
WAREHOUSE,1,0,1,1,0,0,1
WASH_AND_DRY_ROOM,1,0,0,1,0,0,1
WATER_SUPPLY,0,0,0,1,0,0,1
WINTERGARTEN,1,0,0,1,1,0,1
WORKSHOP,,0,1,0,0,0,1